title,claim,verdict,url,date
"Major wine regions could disappear from global warming, Europe to be hit especially hard",The Texas floods on 4 July 2025 were caused by intentional weather manipulation and human interference,Incorrect,https://science.feedback.org/major-wine-regions-could-disappear-from-global-warming-europe-to-be-hit-especially-hard/,2025-09-15
"Cutting emissions today limits future climate impacts, but certain changes are ‘locked in’ due to past CO2 emissions","Antarctica gained ice from 2021 to 2023 so global warming is over, sea-levels aren't rising, and ice loss has reversed in Antarctica.",Inaccurate,https://science.feedback.org/cutting-emissions-today-limits-future-climate-impacts-certain-changes-are-locked-in-due-to-past-co2-emissions/,2025-06-27
"Human-driven climate change largely responsible for last 50 years of worsening fire weather in Western North America, new study shows",The first-ever artificial intelligence-led peer-reviewed climate science paper has confirmed that climate change is a hoax.,Incorrect,https://science.feedback.org/human-driven-climate-change-largely-responsible-last-50-years-worsening-fire-weather-western-north-america-new-study-shows/,2025-05-28
"Earth was hotter in the past, but that doesn’t make humans safer from modern climate change",It is not too hot now. Temperatures and CO2 are lower now than they have been throughout nearly the entire history of the Earth.,Misleading,https://science.feedback.org/review/earth-was-hotter-in-the-past-but-that-doesnt-make-humans-safer-from-modern-climate-change/,2025-01-16
"Tire fires in Kuwait have a much smaller climate influence than methane emissions from cows, contrary to claims","Cow farts [methane emissions from cattle] are blamed for climate change, but there are bigger issues like people burning millions of tires in the deserts of Kuwait.",Inaccurate,https://science.feedback.org/review/tire-fires-in-kuwait-have-a-much-smaller-climate-influence-than-methane-emissions-from-cows-contrary-to-claims/,2025-01-06
"No, marine emissions study didn’t find that climate change is ‘greatly overestimated’, contrary to recent claims",New study shows that climate change is greatly overestimated because oceans are cooling Earth far more than we thought,Inaccurate,https://science.feedback.org/review/no-marine-emissions-study-didnt-find-that-climate-change-is-greatly-overestimated-contrary-to-recent-claims/,2024-12-20
"No, the UK Met Office is not fabricating climate data, contrary to a blogger’s claims",The United Kingdom Meteorological Office (the Met Office) is fabricating data/making up numbers for weather stations that are closed.,Misleading,https://science.feedback.org/review/no-the-uk-met-office-is-not-fabricating-climate-data-contrary-to-a-bloggers-claims/,2024-12-13
"Recent global warming driven by human CO2 emissions, not ‘little ice age’ or urban heat island effects","“even IF mankind is influencing the temperature, it is insignificant compared to the natural forces”",Incorrect,https://science.feedback.org/review/recent-global-warming-driven-by-human-co2-emissions-not-little-ice-age-or-urban-heat-island-effects/,2024-11-15
"No, HAARP can’t create floods, climate change can make heavy rainfall more extreme","HAARP is responsible for recent floods in Spain, New Mexico, and elsewhere.",Incorrect,https://science.feedback.org/review/haarp-cant-create-floods-climate-change-can-make-heavy-rainfall-more-extreme/,2024-11-08
Mislabeled and manipulated videos of natural disasters go viral amidst recent hurricane activity,"Recent footage is real and shows accurately-labeled natural disasters, such as tornadoes and storms that occurred from Hurricane Milton.",Inaccurate,https://science.feedback.org/review/mislabeled-and-manipulated-natural-disaster-videos-go-viral-amidst-recent-hurricane-activity/,2024-10-22
HAARP cannot produce the colorful auroras seen around the world; their power pales in comparison to geomagnetic storms,October 2024 auroras were caused by the High-frequency Active Auroral Research Program (HAARP),Incorrect,https://science.feedback.org/review/haarp-cannot-produce-the-colorful-auroras-seen-around-the-world-their-power-pales-to-geomagnetic-storms/,2024-10-15
Hurricane Milton’s path is not evidence of weather manipulation; humans cannot create or manipulate hurricanes,Hurricane Milton is a targeted geo-engineered storm. Hurricanes don’t develop in the western Gulf of Mexico and head straight east to Florida.,Inaccurate,https://science.feedback.org/review/hurricane-miltons-path-is-not-evidence-of-weather-manipulation-humans-cannot-create-or-manipulate-hurricanes/,2024-10-09
"HAARP and NEXRAD cannot create or modify weather events, including storms such as Hurricane Helene",Hurricane Helenes path and behavior could have been manipulated by NEXRAD frequency transmissions and/or HAARP,Incorrect,https://science.feedback.org/review/mass-bird-migration-during-hurricane-helene-triggers-blue-radar-blooms-no-evidence-of-weather-modification-haarp-nexrad/,2024-10-04
"Major wine regions could disappear from global warming, Europe to be hit especially hard",The Texas floods on 4 July 2025 were caused by intentional weather manipulation and human interference,Incorrect,https://science.feedback.org/major-wine-regions-could-disappear-from-global-warming-europe-to-be-hit-especially-hard/,2025-09-15
"Cutting emissions today limits future climate impacts, but certain changes are ‘locked in’ due to past CO2 emissions","Antarctica gained ice from 2021 to 2023 so global warming is over, sea-levels aren't rising, and ice loss has reversed in Antarctica.",Inaccurate,https://science.feedback.org/cutting-emissions-today-limits-future-climate-impacts-certain-changes-are-locked-in-due-to-past-co2-emissions/,2025-06-27
"Human-driven climate change largely responsible for last 50 years of worsening fire weather in Western North America, new study shows",The first-ever artificial intelligence-led peer-reviewed climate science paper has confirmed that climate change is a hoax.,Incorrect,https://science.feedback.org/human-driven-climate-change-largely-responsible-last-50-years-worsening-fire-weather-western-north-america-new-study-shows/,2025-05-28
"Strange bumps in the sky are natural cloud features, not the results of weather manipulation",These clouds [mammatus and asperitas] are not normal; they are proof that they are messing with the weather.,Inaccurate,https://science.feedback.org/review/strange-bumps-in-sky-natural-cloud-features-not-results-weather-manipulation/,2024-10-03
"Hurricane predictions aren’t perfect, but that does not ‘invalidate climate change theory’, contrary to Daily Wire claims","There were no hurricanes this season even despite forecasts for a high activity, revealing a problem with climate change ‘theory’; it has been a light hurricane season.",Inaccurate,https://science.feedback.org/review/hurricane-predictions-arent-perfect-but-does-not-invalidate-climate-change-contrary-daily-wire-matt-walsh-ben-shapiro/,2024-09-27
Temporary cooling of part of the Atlantic does not question the existence or severity of global warming,"The Atlantic is cooling, and scientists don’t know why.",Misleading,https://science.feedback.org/review/temporary-cooling-part-atlantic-does-not-question-existence-severity-global-warming/,2024-09-26
"Prioritizing plant-based foods in our diet can benefit climate and health, but Forbes article missed some key details",Prioritizing plant-based foods and reducing overconsumption of animal-based protein is healthier and reduces greenhouse gas emissions,Mostly accurate,https://science.feedback.org/review/prioritizing-plant-based-foods-diet-can-benefit-climate-health-but-forbes-missed-key-details/,2024-09-13
"Bjorn Lomborg’s claims about polar bears, coral, and cold deaths ignore scientists’ predictions of climate-change-affected futures","Despite climate change, the global polar-bear population has increased substantially, the Great Barrier Reef has more coral cover than at any point since 1986, and extreme-heat deaths have declined.",Misleading,https://science.feedback.org/review/bjorn-lomborg-claims-polar-bears-coral-cold-deaths-ignore-scientists-predictions-climate-change-futures/,2024-08-28
"Atmospheric CO2 concentrations rising faster today than the last 50,000 years, as accurately claimed in recent social media posts","CO2 concentrations are increasing in Earth’s atmosphere faster than they have in the last 50,000 years.",Accurate,https://science.feedback.org/review/atmospheric-co2-concentrations-rising-faster-today-than-last-50000-years/,2024-08-19
"Pyramid-shaped peaks in Antarctica are naturally carved by glaciers, not constructed by an ancient civilization","Ancient civilizations once inhabited Antarctica, as shown by the pyramids there, but the continent’s position and climate rapidly changed due to ‘tectonics and pole shift’.",Inaccurate,https://science.feedback.org/review/pyramid-shaped-peaks-antarctica-naturally-carved-by-glaciers-not-constructed-by-ancient-civilization/,2024-07-09
"Sea levels have risen for over 100 years, despite misleading photos shared on social media","Sea-level rise is not occurring or showing any impacts, based on photographic evidence.",Inaccurate,https://science.feedback.org/review/sea-levels-have-risen-for-over-100-years-despite-misleading-photos-social-media/,2024-06-13
Colorful auroras seen in May 2024 were caused by mass ejections from the Sun; not by HAARP experiments,May 2024 auroras were caused by experiments from High-frequency Active Auroral Research Program (HAARP) experiments,Incorrect,https://science.feedback.org/review/colorful-auroras-seen-may-2024-caused-by-mass-ejections-from-sun-not-haarp-experiments/,2024-05-16
No evidence for a significant influence of volcanoes or solar variability on recent climate change contrary to Judith Curry’s claims in PragerU video,Climate scientists disagree about how much warming is associated with our emissions and whether this warming is larger than natural climate variability from the sun and volcanic eruptions,Misleading,https://science.feedback.org/review/no-evidence-significant-influence-volcanoes-solar-variability-on-recent-climate-change-contrary-judith-curry-claims-prageru-video/,2024-04-26
"Major wine regions could disappear from global warming, Europe to be hit especially hard",The Texas floods on 4 July 2025 were caused by intentional weather manipulation and human interference,Incorrect,https://science.feedback.org/major-wine-regions-could-disappear-from-global-warming-europe-to-be-hit-especially-hard/,2025-09-15
"Cutting emissions today limits future climate impacts, but certain changes are ‘locked in’ due to past CO2 emissions","Antarctica gained ice from 2021 to 2023 so global warming is over, sea-levels aren't rising, and ice loss has reversed in Antarctica.",Inaccurate,https://science.feedback.org/cutting-emissions-today-limits-future-climate-impacts-certain-changes-are-locked-in-due-to-past-co2-emissions/,2025-06-27
"Human-driven climate change largely responsible for last 50 years of worsening fire weather in Western North America, new study shows",The first-ever artificial intelligence-led peer-reviewed climate science paper has confirmed that climate change is a hoax.,Incorrect,https://science.feedback.org/human-driven-climate-change-largely-responsible-last-50-years-worsening-fire-weather-western-north-america-new-study-shows/,2025-05-28
"Carbon isotopes do not show that humans’ climate impacts are too small to notice, despite the Daily Sceptic’s inaccurate claim",Human-caused carbon emissions’ effect on climate is ‘non-discernible’. Measurements of carbon isotope ratios in atmospheric CO2 indicate that it is the recent expansion of a more productive biosphere that has led to increased CO2 concentrations in the atmosphere.,Incorrect,https://science.feedback.org/review/carbon-isotopes-do-not-show-humans-climate-impacts-too-small-notice-despite-the-daily-sceptic-inaccurate-claim/,2024-04-26
"Review of Climate: The Movie (The Cold Truth) reveals numerous, well-known misinformation talking points and inaccuracies",The first-ever artificial intelligence-led peer-reviewed climate science paper has confirmed that climate change is a hoax.,Incorrect,https://science.feedback.org/review/review-climate-the-movie-the-cold-truth-reveals-numerous-well-known-misinformation-talking-points-inaccuracies/,2024-04-11
"Data shows temperatures rising in Greenland and around the world; current global warming is driven by CO2, not solar activity","Ice cores from Greenland show no significant warming, casting doubt on the climate change theory",Inaccurate,https://science.feedback.org/review/data-shows-temperatures-rising-greenland-world-current-global-warming-driven-co2-not-solar-activity/,2024-03-25
Arctic sea ice has been melting over the past decades with projections for summer ice-free conditions by mid-century,"Arctic sea ice is not melting and there is no indication that we should expect the Arctic sea summer ice to disappear completely, as predicted",Incorrect,https://science.feedback.org/review/arctic-sea-ice-melting-over-past-decades-with-projections-summer-ice-free-conditions-mid-century/,2024-03-07
Optimal atmospheric CO2 for dinosaurs and plants is harmful for humans; current concentration is higher than Homo sapiens have ever experienced,"High CO2 was fine for the dinosaurs and high CO2 benefits plants today in greenhouses, so more CO2 can’t be bad for humans",Misleading,https://science.feedback.org/review/optimal-atmospheric-co2-dinosaurs-plants-harmful-humans-current-concentration-higher-homo-sapiens-ever-experienced/,2024-02-13
"Study calls for people to grow their own food for many years to come, despite finding higher carbon footprint compared to conventional agriculture",Study and headline saying homegrown food is more carbon intensive than conventional agriculture is meant to discourage and stop people from growing their own food,Misleading,https://science.feedback.org/review/study-calls-people-grow-their-own-food-years-come-despite-finding-higher-carbon-footprint-compared-conventional-agriculture/,2024-02-02
"US proposed bills and hearings do not confirm the use of chemtrails, which do not exist and are not a geoengineering strategy","US state governments are banning chemtrails, confirming secret government programs using chemtrails for various purposes that harm the public and the environment",Inaccurate,https://science.feedback.org/review/us-proposed-bills-hearings-dont-confirm-chemtrails-exist-not-geoengineering-strategy/,2024-01-26
"Evidence greenhouse gasses cause global warming denied by Willie Soon in Tucker Carlson interview, resulting in mass social media climate misinformation","Carbon dioxide does not cause global warming, scientists are 90% sure it’s the Sun; The climate problems blamed on carbon dioxide (such as ocean acidification and negative impacts on polar bears) are not real",Incorrect,https://science.feedback.org/review/evidence-greenhouse-gasses-cause-global-warming-denied-willie-soon-tucker-carlson-interview-mass-social-media-climate-misinformation/,2024-01-22
"EU is not passing law to ‘seize and scrap’ cars under climate agenda, contrary to Peter Sweden claim",The EU could SEIZE and SCRAP your old car if it doesn't meet their criteria as part of their climate agenda.,Inaccurate,https://science.feedback.org/review/eu-not-passing-law-seize-scrap-cars-under-climate-agenda-contrary-peter-sweden-claim/,2024-01-18
"Contrary to widespread misrepresentation, new study finds “extremely minimal” impact of human breathing on climate",Scientists say human breathing is fueling global warming,Misleading,https://science.feedback.org/review/contrary-widespread-misrepresentation-new-study-finds-extremely-minimal-impact-human-breathing-climate/,2024-01-12
"Major wine regions could disappear from global warming, Europe to be hit especially hard",The Texas floods on 4 July 2025 were caused by intentional weather manipulation and human interference,Incorrect,https://science.feedback.org/major-wine-regions-could-disappear-from-global-warming-europe-to-be-hit-especially-hard/,2025-09-15
"Cutting emissions today limits future climate impacts, but certain changes are ‘locked in’ due to past CO2 emissions","Antarctica gained ice from 2021 to 2023 so global warming is over, sea-levels aren't rising, and ice loss has reversed in Antarctica.",Inaccurate,https://science.feedback.org/cutting-emissions-today-limits-future-climate-impacts-certain-changes-are-locked-in-due-to-past-co2-emissions/,2025-06-27
"Human-driven climate change largely responsible for last 50 years of worsening fire weather in Western North America, new study shows",The first-ever artificial intelligence-led peer-reviewed climate science paper has confirmed that climate change is a hoax.,Incorrect,https://science.feedback.org/human-driven-climate-change-largely-responsible-last-50-years-worsening-fire-weather-western-north-america-new-study-shows/,2025-05-28
Viral claim that cow burps are not an important contributor to climate change ignores full range of greenhouse gas emissions of beef production,"Methane from cows is only a small percentage of total greenhouse gas emissions, it would be produced anyways without cattle, it is not an important contributor to climate change",Misleading,https://science.feedback.org/review/claim-cow-burps-not-important-contributor-climate-change-ignores-full-range-greenhouse-gas-emissions-beef-production/,2024-01-09
Uncertainties about future climate change in the 1970’s does not invalidate today’s evidence on the reality of global warming,"Scientists predicted global cooling and were wrong, so they are wrong about global warming",Inaccurate,https://science.feedback.org/review/uncertainties-about-future-climate-change-1970s-does-not-invalidate-today-evidence-reality-global-warming/,2023-12-19
"Water vapor is a greenhouse gas, but it is not a major driver of global warming",Water vapor is the most abundant greenhouse gas so it is the main cause of recent global warming,Incorrect,https://science.feedback.org/review/water-vapor-greenhouse-gas-not-major-driver-global-warming/,2023-12-08
Video of Ian Plimer incorrectly states that human CO2 emissions are not responsible for increased atmospheric CO2 concentrations and global warming,"Increases in atmospheric CO2 is mainly from natural causes, like ocean outgassing, and not from humans who emit so little in comparison",Incorrect,https://science.feedback.org/review/video-ian-plimer-incorrectly-states-human-co2-emissions-not-responsible-for-increased-atmospheric-co2-concentrations-global-warming/,2023-12-04
Global warming matches model predictions well despite misconstrued claims about new photosynthesis study,New photosynthesis study shows that Earth is not warming as predicted by climate models,Inaccurate,https://science.feedback.org/review/global-warming-matches-model-predictions-well-misconstrued-claims-new-photosynthesis-study/,2023-12-01
Wall Street Journal article questions decades of scientific evidence demonstrating elevated atmospheric-CO2 causes global warming,We do not know if CO2 is the cause of global warming,Inaccurate,https://science.feedback.org/review/wall-street-journal-questions-decades-scientific-evidence-demonstrating-elevated-atmospheric-co2-causes-global-warming/,2023-11-21
Claim that current climate change can be explained satisfactorily by natural cycles and volcanic activity does not have scientific support,"The cyclical activity of the Sun as well as other variations in solar and earth activity, and NOT anthropogenic CO2 emissions, are responsible for climate change",Incorrect,https://science.feedback.org/review/claim-current-climate-change-explained-natural-cycles-volcanic-activity-does-not-have-scientific-support/,2023-09-18
CLINTEL group inaccurately represents climate science in its declaration of “no climate emergency” once again,Global warming is just the end of the Little Ice Age; Warming is slower than climate models forecasted; Carbon dioxide is beneficial to Earth; Global warming is not intensifying or increasing the frequency of natural disasters,Incorrect,https://science.feedback.org/review/clintel-group-inaccurately-represents-climate-science-declaration-no-climate-emergency-once-again/,2023-09-04
"Nearly three decades on, the chemtrail-HAARP geoengineering conspiracy theory remains popular despite lack of evidence and no scientific basis",Global weather is controlled by secret geoengineering programs using chemtrails and ionosphere heating facilities.,Incorrect,https://science.feedback.org/review/three-decades-chemtrail-haarp-geoengineering-conspiracy-theory-remains-popular-despite-lack-evidence-no-scientific-basis/,2023-08-31
Magnetic poles reversals are not cataclysmic events as claimed in the ‘Adam and Eve’ theory discussed on Joe Rogan podcast,"Magnetic poles reversals involve the Earth flipping vertically and momentarily stopping its rotation, causing cataclysmic events during 6 days.",Incorrect,https://science.feedback.org/review/magnetic-poles-reversals-not-cataclysmic-events-adam-and-eve-theory-jimmy-corsetti-joe-rogan-podcast/,2023-06-13
"Major wine regions could disappear from global warming, Europe to be hit especially hard",The Texas floods on 4 July 2025 were caused by intentional weather manipulation and human interference,Incorrect,https://science.feedback.org/major-wine-regions-could-disappear-from-global-warming-europe-to-be-hit-especially-hard/,2025-09-15
"Cutting emissions today limits future climate impacts, but certain changes are ‘locked in’ due to past CO2 emissions","Antarctica gained ice from 2021 to 2023 so global warming is over, sea-levels aren't rising, and ice loss has reversed in Antarctica.",Inaccurate,https://science.feedback.org/cutting-emissions-today-limits-future-climate-impacts-certain-changes-are-locked-in-due-to-past-co2-emissions/,2025-06-27
"Human-driven climate change largely responsible for last 50 years of worsening fire weather in Western North America, new study shows",The first-ever artificial intelligence-led peer-reviewed climate science paper has confirmed that climate change is a hoax.,Incorrect,https://science.feedback.org/human-driven-climate-change-largely-responsible-last-50-years-worsening-fire-weather-western-north-america-new-study-shows/,2025-05-28
Temperatures on Earth are increasing and the rise is drastically outpacing previous natural changes in the planet’s climate,"“We have been cooling down for the past 4000 years”; the Earth has cooled since the ‘medieval warming’, “It’s all about when you start the measurements”",Inaccurate,https://science.feedback.org/review/headline-temperatures-on-earth-are-increasing-and-the-rise-is-drastically-outpacing-previous-natural-changes-in-the-planets-climate/,2023-05-15
"The Antarctic’s ice coverage is not increasing to record levels, nor is the continent getting colder, contrary to Curry and Easterbrook claims in CFACT movie",Antarctic sea-ice extent is increasing to record levels. Antarctica is getting colder; its sea ice and ice cap are not melting,Inaccurate,https://science.feedback.org/review/antarctic-ice-coverage-not-increasing-record-levels-nor-continent-getting-colder-contrary-to-curry-easterbrook-cfact-movie/,2023-04-28
"The strands of cloud seen behind aeroplanes are trails of condensed water known as contrails, they are not chemtrails as some believe",Chemtrails contain toxic substances such as barium salts that are 10 thousand times more toxic to your nervous system than lead,Inaccurate,https://science.feedback.org/review/strands-cloud-behind-aeroplanes-trails-condensed-water-contrails-not-chemtrails-some-believe/,2023-04-06
"Pre-human changes in climate do not negate contemporary human influence on modern warming, contrary to implication in popular Instagram post","Climate changed naturally in prehistoric eras, modern climate change is a naturally occurring phenomenon",Flawed reasoning,https://science.feedback.org/review/pre-human-changes-climate-not-negate-contemporary-human-influence-modern-warming/,2023-01-23
"Link between CO2 and Earth’s temperature is well-established, despite claims on Fox News",Scientists have found no consistent correlation between CO2 and temperature; scientists do not know whether earth will warm or cool in future,Inaccurate,https://science.feedback.org/review/link-between-co2-earth-temperature-well-established-despite-claims-fox-news-tom-harris/,2022-10-18
"Scientists have found that modern climate change is caused entirely by human activity, contrary to recent speculation by Joe Rogan","“The question is, ‘how much of an impact do we have on [climate]?’ That has not totally been quantified”; climate change is happening anyway, “The ice age happened without us…It’s probably this constant cycle”.",Flawed reasoning,https://science.feedback.org/review/scientists-found-modern-climate-change-caused-entirely-by-human-activity-contrary-recent-speculation-joe-rogan-experience/,2022-10-11
The Epoch Times prints a range of inaccurate and misleading claims about climate change’s impacts and causes,CO<sub>2</sub> is not the cause of our current warming trend; Arctic sea ice has expanded in recent years; Polar bears’ population is growing and is not threatened by climate change; CO<sub>2</sub> is good for plant life,Incorrect,https://science.feedback.org/review/the-epoch-times-prints-range-of-inaccurate-misleading-claims-climate-changes-impacts-causes-patrick-moore/,2022-09-20
"Scientific evidence indicates that modern warming is driven by CO2, contrary to Richard Lindzen’s claim",“Believing CO2 controls the climate is pretty close to believing in magic.”,Incorrect,https://science.feedback.org/review/scientific-evidence-indicates-modern-warming-driven-by-co2-contrary-to-richard-lindzen/,2022-09-02
Letter stating there is “no climate emergency” repeats inaccurate claims about climate science,"“Natural variation explains a substantial part of global warming observed since 1850;” no statistical evidence that global warming is intensifying natural disasters, or making them more frequent.",Incorrect,https://science.feedback.org/review/letter-there-is-no-climate-emergency-repeats-inaccurate-claims-about-climate-science-daily-sceptic-toby-young/,2022-08-24
"Carbon dioxide emissions by humans are the major driver of modern climate change, contrary to Jerome Corsi’s claims in CBN News video",Carbon dioxide is not a climate heat driver; we had an ice age when the Earth had extraordinarily larger amounts of carbon dioxide; in the 1970s scientists thought we were going to have a new ice age.,Incorrect,https://science.feedback.org/review/carbon-dioxide-emissions-humans-major-driver-climate-change-jerome-corsi-claims-cbn-news/,2022-08-05
"Major wine regions could disappear from global warming, Europe to be hit especially hard",The Texas floods on 4 July 2025 were caused by intentional weather manipulation and human interference,Incorrect,https://science.feedback.org/major-wine-regions-could-disappear-from-global-warming-europe-to-be-hit-especially-hard/,2025-09-15
"Cutting emissions today limits future climate impacts, but certain changes are ‘locked in’ due to past CO2 emissions","Antarctica gained ice from 2021 to 2023 so global warming is over, sea-levels aren't rising, and ice loss has reversed in Antarctica.",Inaccurate,https://science.feedback.org/cutting-emissions-today-limits-future-climate-impacts-certain-changes-are-locked-in-due-to-past-co2-emissions/,2025-06-27
"Human-driven climate change largely responsible for last 50 years of worsening fire weather in Western North America, new study shows",The first-ever artificial intelligence-led peer-reviewed climate science paper has confirmed that climate change is a hoax.,Incorrect,https://science.feedback.org/human-driven-climate-change-largely-responsible-last-50-years-worsening-fire-weather-western-north-america-new-study-shows/,2025-05-28
"The sun isn’t responsible for current climate change, contrary to claims in Suspicious0bservers YouTube video","Scientists have neglected the effect of solar particles, cosmic rays, the interplanetary magnetic field and Earth's weakening magnetic field to conclude climate change is due to human activity",Incorrect,https://science.feedback.org/review/the-sun-isnt-responsible-for-current-climate-change-contrary-claims-suspicious0bservers-ben-davidson/,2022-07-29
"Warming of Earth’s surface and oceans continues apace, contrary to claims in blog",”Global warming started to run out of steam over two decades ago… Half of the apparent global temperature increase from January 1910 to January 2000 is due to administrative adjustments.”,Incorrect,https://science.feedback.org/review/warming-earths-surface-oceans-continues-apace-contrary-to-claims-daily-sceptic-chris-morrison/,2022-06-09
"Earth’s surface continues to warm due to greenhouse gas emissions, contrary to claims by Christopher Monckton in Watts Up With That","“...Seven and a half years have passed since there was any trend in global warming at all” If global warming was caused by human emissions, temperature would rise at a steady rate",Incorrect,https://science.feedback.org/review/earths-surface-warm-due-greenhouse-gas-christopher-monckton-watts-up-with-that/,2022-04-11
"Robust scientific evidence supports that human activity drives global warming, contrary to claims in a CO2 Coalition blog post by Andy May","""There is no evidence, other than models, that human CO2 emissions drive climate change and abundant evidence that the Sun, coupled with natural climate cycles, drives most, if not all, of recent climate changes""",Incorrect,https://science.feedback.org/review/robust-scientific-evidence-supports-human-activity-drives-global-warming-contrary-to-claims-co2-coalition-blog-post-andy-may/,2022-03-16
"More than 75 percent of the Amazon rainforest is losing resilience, as described by the Washington Post",More than 75 percent of the rainforest is losing resilience; More than half of the rainforest could be converted into savanna in a matter of decades,Mostly accurate,https://science.feedback.org/review/more-than-75-percent-amazon-rainforest-losing-resilience-the-washington-post-sarah-kaplan/,2022-03-15
Wall Street Journal op-ed by Steven Koonin publishes misleading claims about how climate change influences Greenland ice melt,"Antarctica gained ice from 2021 to 2023 so global warming is over, sea-levels aren't rising, and ice loss has reversed in Antarctica.",-1.75Very low,https://science.feedback.org/review/wall-street-journal-steven-koonin-publishes-misleading-claims-climate-change-influences-greenland-ice-melt/,2022-02-24
PragerU video on climate change repeats a range of misleading claims by Steven Koonin,,-1.4Very low,https://science.feedback.org/review/prageru-video-on-climate-change-repeats-a-range-of-misleading-claims-by-steven-koonin/,2021-11-29
"Coral cover in the Great Barrier Reef improved in 2021, but that doesn’t mean the reef is ‘growing quickly,’ contrary to Daily Wire claim",Study Shows The Great Barrier Reef Is Growing Quickly,Misleading,https://science.feedback.org/review/coral-cover-great-barrier-reef-improved-2021-but-doesnt-mean-reef-growing-quickly-contrary-to-daily-wire/,2021-10-30
"Rain fell on Greenland summit for the first time on record, as accurately reported by CNN",The Texas floods on 4 July 2025 were caused by intentional weather manipulation and human interference,1.3High,https://science.feedback.org/review/rain-fell-on-greenland-summit-for-the-first-time-on-record-as-accurately-reported-by-cnn/,2021-09-29
"A 2014 study showed that the US Corn Belt is one of the biggest primary producers on Earth in July, but didn’t show that it produces more oxygen than the Amazon","""the US corn crop, at its peak, produces 40% more oxygen than the Amazon rainforest.""",Inaccurate,https://science.feedback.org/review/a-2014-study-showed-that-the-us-corn-belt-is-one-of-the-biggest-primary-producers-on-earth-in-july-but-didnt-show-that-it-produces-more-oxygen-than-the-amazon/,2021-09-23
"Major wine regions could disappear from global warming, Europe to be hit especially hard",The Texas floods on 4 July 2025 were caused by intentional weather manipulation and human interference,Incorrect,https://science.feedback.org/major-wine-regions-could-disappear-from-global-warming-europe-to-be-hit-especially-hard/,2025-09-15
"Cutting emissions today limits future climate impacts, but certain changes are ‘locked in’ due to past CO2 emissions","Antarctica gained ice from 2021 to 2023 so global warming is over, sea-levels aren't rising, and ice loss has reversed in Antarctica.",Inaccurate,https://science.feedback.org/cutting-emissions-today-limits-future-climate-impacts-certain-changes-are-locked-in-due-to-past-co2-emissions/,2025-06-27
